ISRC,Track,Artist,Release Date,Track Score,Spotify Streams,Spotify Playlist Count,Spotify Playlist Reach,Spotify Popularity,YouTube Views,YouTube Likes,TikTok Posts,TikTok Likes,TikTok Views,YouTube Playlist Reach,Explicit Track
USUM72222545,PERO Tï¿,KAROL G,2023-02-23,26.3,212911684.0,22815.0,8668393.0,71.0,106041009.0,588756.0,215518.0,9084718.0,131834580.0,7517627.0,1
FR8FB2002810,N'y pense plus,Tayc,2020-06-19,26.3,177952382.0,60714.0,3538535.0,63.0,217526800.0,1861229.0,1855774.0,227091507.0,2758905591.0,17779700.0,0
QMCE32000683,Body,Megan Thee Stallion,2020-11-20,26.3,327693363.0,59033.0,19679788.0,63.0,215966337.0,3070939.0,1180141.0,371525726.0,2873316705.0,1231737.0,1
USUG12301338,Where You Are,John Summit,2023-03-03,26.3,123058600.0,41625.0,65080812.0,71.0,15090329.0,160292.0,12651.0,2501719.0,30233661.0,35904201.0,0
USUM71215597,Scream & Shout,will.i.am,2012-11-20,26.3,767661283.0,177756.0,49961171.0,72.0,1211548500.0,6168792.0,139644.0,110048740.0,838554125.0,226395588.0,1
USUM72311204,bigger thï¿½ï¿½n everyt,Yeat,2023-08-10,26.3,48790265.0,26044.0,5580526.0,59.0,11963045.0,259674.0,,239969.0,2309009.0,191102695.0,1
USUG12300211,Princess Diana (with Nicki Minaj),Ice Spice,2023-04-14,26.3,220270601.0,34862.0,34947789.0,67.0,32354134.0,356483.0,219907.0,98324852.0,905030524.0,,1
USAT21704622,This Is Me,Keala Settle,2017-10-27,26.2,809894358.0,80591.0,19776253.0,66.0,622964718.0,4716659.0,18442.0,1528788.0,16464069.0,41140493.0,0
USUM71912318,QUE PRETENDES,J Balvin,2019-06-28,26.2,806817589.0,85661.0,29532086.0,71.0,489443301.0,2894907.0,31430.0,21776640.0,131482347.0,133515788.0,0
QZHN72010372,The Chicken Wing Beat,Ricky Desktop,2020-06-13,26.2,68033539.0,13060.0,1293542.0,60.0,88796716.0,1038952.0,4890413.0,206433932.0,2164370742.0,7628776.0,0
QZZEC2322612,Nï¿½ï¿½o Vou Nam,DJ Ws da Igrejinha,2024-01-19,26.2,73192291.0,7800.0,40120103.0,79.0,34522299.0,269890.0,,,,15869838.0,1
AT2DY2400003,Rim Tim Tagi Dim,Baby Lasagna,2024-01-12,26.2,34926866.0,4003.0,4119043.0,75.0,50347276.0,837359.0,10600.0,,,12801813.0,0
QM7281886206,Baila Baila Baila,Ozuna,2019-01-05,26.2,563326343.0,71108.0,14798709.0,64.0,619678799.0,3452638.0,106538.0,2189375.0,13221298.0,11102526.0,0
DECE72302560,Ms. Jackson,Pashanim,2023-08-24,26.2,91200208.0,31859.0,7752540.0,69.0,9615800.0,108288.0,1020.0,502312.0,4482394.0,171987731.0,0
MXUM72300426,Sï¿½ï¿½PER ULTRA ,Picus,2023-04-15,26.2,14167450.0,963.0,227636.0,56.0,246398948.0,1783107.0,,10206545.0,145453664.0,80150371.0,0
